	of
five	assault
five	avenues
five	bodies
five	california
five	chevy
five	civilian
five	counts
five	criminal
five	days
five	diamond
five	fbi
five	felony
five	female
five	gang
five	homes
five	hot
five	lapd
five	men
five	months
five	ncis
five	oakland
five	of
five	oscars
five	other
five	others
five	people
five	robberies
five	suspects
five	teams
five	time
five	times
five	year
five	years
fix	people
fix	that
fix	what
fixed	by
fixed	ignoring
fixed	she
fixers	at
fixing	flaws
fixing	people
fla	a
fla	ap
fla	the
fla	to
flaco	garcia
flag	some
flagging	business
flagging	quality
flags	and
flags	load
flags	refer
flags	they
flags	those
flags	were
flame	torches
flames	and
flames	billowing
flames	from
flames	were
flames	when
flammable	the
flare	that
flared	much
flash	incarcerated
flash	incarcerations
flash	soccer
flashback	could
flashing	a
flashing	smiles
flashlight	models
flashlight	on
flashlight	they
flashlights	and
flashlights	as
flashlights	the
flashy	technology
flat	but
flatlands	south
flatly	dismissed
flatmate	getty
flavor	everybody
flawed	law
flawed	men
flaws	in
fled	a
fled	and
fled	her
fled	in
fled	laptop
fled	the
fled	they
fled	to
fled	when
fled	with
fledgling	romance
flee	because
flee	he
flee	on
flee	the
flee	with
fleeing	bandits
fleeing	crooks
fleeing	down
fleeing	empty
fleeing	older
fleeing	on
fleeing	suspects
fleeing	that
fleeing	the
fleeing	to
fleeing	with
flemming	contributed
flew	for
flew	out
flew	the
fliers	are
fliers	going
fliers	promoting
flight	and
flight	attendant
flight	during
flight	from
flight	services
flight	to
flights	pending
flintridge	could
floating	face
floating	in
flood	of
flooded	crime
floor	and
floor	apartment
floor	in
floor	load
floor	los
floor	of
floor	space
floor	was
floorboards	investigators
floors	goodyear
floors	other
floppy	hat
florence	a
florence	avenue
florence	avenues
florence	boundaries
florence	community
florence	continued
florence	credit
florence	is
florence	population
florence	residents
florence	s
florence	yet
florida	and
florida	are
florida	department
florida	he
florida	in
florida	of
florida	petroleum
florida	preventing
florida	texas
flow	of
flower	avenue
flower	shirt
flowers	outside
flown	at
fly	at
fly	until
flying	out
flying	under
foam	surrounding
focus	enforcement
focus	examining
focus	is
focus	of
focus	on
focus	shifts
focus	that
focus	the
focus	to
focus	would
focused	alvarado
focused	as
focused	entirely
focused	his
focused	on
focused	sex
focuses	on
focuses	solely
focusing	heavily
focusing	his
focusing	license
focusing	on
foes	crash
fog	once
fogged	up
foiling	fuel
foiling	these
folger	a
folks	and
folks	do
follow	a
follow	full
follow	gang
follow	her
follow	its
follow	me
follow	michael
follow	saying
follow	the
follow	up
followed	a
followed	behind
followed	by
followed	creech
followed	her
followed	into
followed	manukyan
followed	of
followed	oh
followed	some
followed	someone
followed	the
followed	them
followed	up
followed	with
followers	he
followers	if
followers	it
followers	susan
followers	that
followers	to
followers	were
following	a
following	an
following	arraignment
following	borjas
following	day
following	definition
following	fields
following	her
following	his
following	is
following	l
following	leads
following	month
following	morning
following	news
following	on
following	possible
following	press
following	stabbing
following	the
following	their
following	tips
following	two
following	types
following	ward
following	weeks
following	year
following	years
follows	a
fondling	a
fondness	for
fonseca	a
fonseca	rfonseca
fontana	as
fontana	man
fontana	mayor
fontana	police
fontana	resident
fontana	suspected
fonthill	avenue
food	and
food	less
food	services
food	shelter
fool	our
fooled	people
foot	home
foot	house
foot	into
foot	pursuit
foot	square
foot	structure
foot	tall
foot	the
foot	they
foot	to
foot	was
foot	wingspan
footage	along
footage	from
footage	of
footage	recorded
footage	showed
footage	that
football	hall
football	player
football	team
foothill	and
foothill	area
foothill	blvd
foothill	boulevard
foothill	division
foothills	are
for	a
for	about
for	academic
for	according
for	accreditation
for	accuracy
for	additional
for	advice
for	affordable
for	african
for	after
for	again
for	agencies
for	aggravated
for	alads
for	alex
for	all
for	allegedly
for	alt
for	america
for	ammunition
for	an
for	and
for	andressian
for	announcing
for	anonymous
for	another
for	anti
for	any
for	anyone
for	appearing
for	approximately
for	april
for	aramazd
for	arduous
for	armed
for	arraignment
for	arranging
for	as
for	asian
for	asking
for	assault
for	at
for	aug
for	authors
for	avelica
for	backing
for	bad
for	bail
for	battery
for	becerra
for	being
for	benefits
for	between
for	bikram
for	bilking
for	binkle
for	blacks
for	blue
for	boosting
for	borjas
for	both
for	brandishing
for	breaking
for	breeding
for	bringing
for	brown
for	building
for	bullying
for	burglary
for	by
for	california
for	californians
for	candidates
for	car
for	careful
for	cash
for	celebration
for	certain
for	chacon
for	changes
for	chief
for	childhood
for	children
for	china
for	choudhury
for	cisneros
for	cities
for	city
for	citywide
for	clarification
for	claudia
for	clues
for	co
for	cohen
for	combating
for	coming
for	comment
for	commercial
for	commission
for	communities
for	community
for	concern
for	conspiracy
for	construction
for	control
for	corroborating
for	creating
for	crime
for	crimes
for	criminal
for	criminals
for	daca
for	daly
for	days
for	de
for	decade
for	decades
for	deploying
for	deportation
for	deputies
for	detainment
for	developing
for	diesel
for	direction
for	discussion
for	diverting
for	dna
for	doing
for	domestic
for	douglas
for	drinking
for	drinks
for	driving
for	drone
for	drug
for	drugs
for	drunken
for	dui
for	each
for	education
for	educators
for	effective
for	efforts
for	electronic
for	emotional
for	ensuring
for	enticing
for	entry
for	eric
for	essential
for	europe
for	every
for	everybody
for	everyone
for	everything
for	evidence
for	ex
for	example
for	expanding
for	expelling
for	explanations
for	exportation
for	expression
for	failing
for	faith
for	fame
for	family
for	fans
for	fear
for	federal
for	felonies
for	felons
for	felony
for	fighting
for	filming
for	financial
for	fire
for	fixing
for	follow
for	former
for	four
for	free
for	freedom
for	friday
for	full
for	fumigation
for	further
for	gang
for	gaspar
for	generations
for	genocide
for	going
for	good
for	governor
for	graduate
for	grant
for	green
for	grounding
for	gun
for	guns
for	hackers
for	handling
for	harassment
for	hate
for	head
for	healthy
for	help
for	helping
for	henry
for	her
for	heroes
for	him
for	hire
for	his
for	holds
for	homeboy
for	homeland
for	homelessness
for	horrific
for	hours
for	housing
for	huge
for	human
for	husband
for	illegal
for	immigrant
for	immigrants
for	immigration
for	impingement
for	improving
for	in
for	inaugeration
for	incarceration
for	increases
for	industrial
for	information
for	initially
for	injuries
for	input
for	instance
for	interenet
for	intermediaries
for	internet
for	invading
for	investigating
for	is
for	isis
for	islamic
for	it
for	its
for	january
for	jaywalking
for	judeo
for	july
for	june
for	just
for	justice
for	kamala
for	killing
for	killings
for	krisai
for	la
for	lapd
for	lappl
for	latinos
for	law
for	lawmakers
for	ldn
for	legal
for	legalizing
for	legislative
for	less
for	lewd
for	liberal
for	licenses
for	life
for	local
for	long
for	los
for	lost
for	low
for	making
for	many
for	march
for	marijuana
for	maximum
for	mayor
for	me
for	medical
for	mejia
for	members
for	metro
for	mexico
for	mia
for	michael
for	migrants
for	miles
for	million
for	minor
for	minutes
for	misdemeanor
for	misdemeanors
for	missing
for	modern
for	mokayef
for	monday
for	monge
for	months
for	more
for	most
for	ms
for	much
for	multiple
for	murder
for	murderfor
for	murders
for	murga
for	muslims
for	my
for	narcotics
for	nearly
for	neighborhoods
for	next
for	nine
for	no
for	nonviolent
for	not
for	nothing
for	notification
for	nov
for	now
for	o
for	obama
for	oct
for	of
for	offenders
for	officer
for	officers
for	one
for	opinion
for	ordering
for	other
for	our
for	outreach
for	overall
for	overstaying
for	overtime
for	p
for	pacoima
for	painting
for	parole
for	passengers
for	peace
for	pedestrians
for	pennsylvania
for	people
for	perez
for	perhaps
for	picking
for	places
for	planned
for	police
for	political
for	popular
for	possessing
for	possession
for	possible
for	post
for	practice
for	predators
for	preventing
for	prop
for	property
for	proposition
for	prostitution
for	providing
for	public
for	quite
for	rail
for	ransom
for	rape
for	re
for	reasons
for	rebuffing
for	receiving
for	red
for	reducing
for	reform
for	refusing
for	regional
for	related
for	release
for	religious
for	repeat
for	reports
for	resale
for	rescuers
for	research
for	residents
for	resilience
for	review
for	rios
for	robbery
for	robbing
for	rodriguez
for	rosenberg
for	s
for	safety
for	sale
for	sales
for	san
for	sane
for	saturday
for	sb
for	school
for	scrutinizing
for	self
for	sending
for	sentencing
for	service
for	services
for	seven
for	several
for	sex
for	sexual
for	sexually
for	sfv
for	sharp
for	sherman
for	shoplifting
for	sidewalk
for	single
for	six
for	snowfall
for	so
for	social
for	soliciting
for	some
for	someone
for	something
for	speaking
for	speeding
for	starting
for	stiffer
for	stolen
for	street
for	students
for	studying
for	sun
for	sunset
for	supervisors
for	supporting
for	suspect
for	swiping
for	sworn
for	taking
for	teen
for	teens
for	th
for	that
for	the
for	their
for	them
for	themselves
for	these
for	they
for	this
for	those
for	three
for	thursday
for	tips
for	today
for	tolerating
for	transparency
for	treatment
for	tree
for	trial
for	tues
for	tuesday
for	tv
for	two
for	u
for	undocumented
for	undocumentes
for	universal
for	unwarranted
for	unwitting
for	up
for	update
for	us
for	using
for	valuable
for	vandalism
for	various
for	vending
for	very
for	victimizing
for	victims
for	victoria
for	violating
for	violation
for	violations
for	violence
for	violent
for	visas
for	wanda
for	was
for	water
for	ways
for	we
for	weakness
for	wealthy
for	weapons
for	wednesday
for	weinstein
for	well
for	were
for	westbrooks
for	westwick
for	what
for	when
for	where
for	which
for	whites
for	wholesale
for	wildlife
for	with
for	woman
for	women
for	work
for	working
for	years
for	you
for	your
for	yourself
for	youth
fora	home
foralleged	crimes
forbid	local
forbid	that
force	a
force	allocation
force	also
force	an
force	anaheim
force	and
force	are
force	as
force	at
force	base
force	based
force	became
force	behind
force	by
force	came
force	comes
force	conducted
force	could
force	distrust
force	each
force	entry
force	failed
force	followed
force	has
force	her
force	him
force	his
force	i
force	icac
force	in
force	including
force	investigation
force	investigators
force	is
force	jackie
force	l
force	laacetf
force	led
force	likely
force	load
force	local
force	makes
force	north
force	of
force	on
force	one
force	open
force	or
force	orl
force	participated
force	personnel
force	power
force	previously
force	pursuant
force	said
force	seized
force	the
force	to
force	too
force	veteran
force	was
force	we
force	were
force	where
force	which
force	will
forcecarried	out
forced	an
forced	her
forced	himself
forced	his
forced	me
forced	myself
forced	open
forced	oral
forced	temporary
forced	to
forceful	to
forcefully	denied
forcefully	in
forces	and
forces	how
forces	including
forces	kubrin
forces	senate
forcible	lewd
forcible	oral
forcible	rape
forcible	sex
forcible	sod
forcible	sodomy
forcibly	raped
forcibly	take
forcibly	took
forcing	a
forcing	hairdressers
forcing	him
forcing	himself
forcing	immigration
forcing	people
forcing	the
ford	e
ford	econoline
ford	f
ford	mustang
ford	ranger
fording	raging
forearm	anyone
forefront	in
forefront	of
forego	their
forehead	and
forehead	then
forehead	when
foreign	countries
foreign	decisions
foreign	investors
foreign	nationals
foreign	object
foreigner	who
foreigners	did
foreigners	pool
foreigners	seeking
foreman	gionet
foreman	is
foreman	sometimes
foreman	was
foreman	whom
forensic	analyses
forensic	auditors
forensic	chemists
forensic	evidence
forensic	investigations
forensic	laboratory
forensic	science
forensics	as
forensics	community
forest	and
forest	dwelling
forest	while
forever	myrna
forged	prosecutors
forged	with
forgery	related
forget	nov
forget	what
forging	a
forging	the
forgo	standard
forgot	about
forgot	to
forgotten	how
forgotten	in
forgotten	piper
form	los
form	of
form	on
form	that
form	the
formal	complaints
formal	lawsuit
formally	arrested
formally	charged
formally	diagnosed
formally	notified
forman	torrance
format	investigators
formation	of
formed	a
formed	by
formed	in
formed	that
formed	to
formed	who
former	alemany
former	apartment
former	attorney
former	bureau
former	buzzfeed
former	clinton
former	clipper
former	coach
former	contra
former	convictions
former	department
former	director
former	factory
former	gang
former	girlfriend
former	head
former	inmates
former	jetblue
former	l
former	lapd
former	legal
former	los
former	mexican
former	nfl
former	oakland
former	offenders
former	officer
former	parishioner
former	patients
former	physics
former	police
former	power
former	prisoner
former	prisoners
former	prosecutor
former	riders
former	san
former	senior
former	state
former	student
former	supervisor
former	teacher
former	top
